uuid,search_key,naics_code_llm,naics_description,naics_confidence,open_secrets_category,open_secrets_confidence,naics_reasoning,industry_summary,confidence,is_prominent,prominence_reason
fb3ad36a-32f2-4263-b014-f14d9208f91e,CALIFORNIA NEW CAR DEALERS ASSOCIATION|||,76,Associations,high,Business Associations,high,The entity is explicitly described as a trade association representing new car and truck dealers.,"The California New Car Dealers Association (CNCDA) is a trade association that represents franchised new car and truck dealers throughout California. It advocates for the interests of its members in legislative and regulatory affairs, and provides resources, legal support, education, and market data to them.",high,,
1c7c8f7f-e620-447d-b6e8-efb52a674da5,CALIFORNIA NEW CAR DEALERS ASSOCIATION|||,76,Associations,high,Business Associations,high,The entity is explicitly described as a trade association representing new car and truck dealers.,"The California New Car Dealers Association (CNCDA) is a trade association that represents franchised new car and truck dealers throughout California. It advocates for the interests of its members in legislative and regulatory affairs, and provides resources, legal support, education, and market data to them.",high,,
31717e6b-d699-4abf-91ad-51fa80d39522,CALIFORNIA NEW CAR DEALERS ASSOCIATION|||,76,Associations,high,Business Associations,high,The entity is explicitly described as a trade association representing new car and truck dealers.,"The California New Car Dealers Association (CNCDA) is a trade association that represents franchised new car and truck dealers throughout California. It advocates for the interests of its members in legislative and regulatory affairs, and provides resources, legal support, education, and market data to them.",high,,
b938e12d-443b-4b6b-b540-504ab05dd072,CALIFORNIA NEW CAR DEALERS ASSOCIATION|||,76,Associations,high,Business Associations,high,The entity is explicitly described as a trade association representing new car and truck dealers.,"The California New Car Dealers Association (CNCDA) is a trade association that represents franchised new car and truck dealers throughout California. It advocates for the interests of its members in legislative and regulatory affairs, and provides resources, legal support, education, and market data to them.",high,,
5dc407ad-dd10-4ef9-9423-b60cb75f05d1,CALIFORNIA NEW CAR DEALERS ASSOCIATION|||,76,Associations,high,Business Associations,high,The entity is explicitly described as a trade association representing new car and truck dealers.,"The California New Car Dealers Association (CNCDA) is a trade association that represents franchised new car and truck dealers throughout California. It advocates for the interests of its members in legislative and regulatory affairs, and provides resources, legal support, education, and market data to them.",high,,
0e3185fc-6875-4bc3-8f71-8f418a12b7bd,CALIFORNIA NEW CAR DEALERS ASSOCIATION|||,76,Associations,high,Business Associations,high,The entity is explicitly described as a trade association representing new car and truck dealers.,"The California New Car Dealers Association (CNCDA) is a trade association that represents franchised new car and truck dealers throughout California. It advocates for the interests of its members in legislative and regulatory affairs, and provides resources, legal support, education, and market data to them.",high,,
9fc48eeb-9ee2-4a74-a7ae-96594e95c058,CALIFORNIA NEW CAR DEALERS ASSOCIATION|||,76,Associations,high,Business Associations,high,The entity is explicitly described as a trade association representing new car and truck dealers.,"The California New Car Dealers Association (CNCDA) is a trade association that represents franchised new car and truck dealers throughout California. It advocates for the interests of its members in legislative and regulatory affairs, and provides resources, legal support, education, and market data to them.",high,,
eb813166-ce73-483c-9dc6-e236071d32f3,CALIFORNIA NEW CAR DEALERS ASSOCIATION|||,76,Associations,high,Business Associations,high,The entity is explicitly described as a trade association representing new car and truck dealers.,"The California New Car Dealers Association (CNCDA) is a trade association that represents franchised new car and truck dealers throughout California. It advocates for the interests of its members in legislative and regulatory affairs, and provides resources, legal support, education, and market data to them.",high,,
61def980-55f4-40af-bf97-ebce5d0a4a96,CALIFORNIA NEW CAR DEALERS ASSOCIATION|||,76,Associations,high,Business Associations,high,The entity is explicitly described as a trade association representing new car and truck dealers.,"The California New Car Dealers Association (CNCDA) is a trade association that represents franchised new car and truck dealers throughout California. It advocates for the interests of its members in legislative and regulatory affairs, and provides resources, legal support, education, and market data to them.",high,,
70187e7f-3524-484e-b80f-7da9da489eba,CALIFORNIA NEW CAR DEALERS ASSOCIATION|||,76,Associations,high,Business Associations,high,The entity is explicitly described as a trade association representing new car and truck dealers.,"The California New Car Dealers Association (CNCDA) is a trade association that represents franchised new car and truck dealers throughout California. It advocates for the interests of its members in legislative and regulatory affairs, and provides resources, legal support, education, and market data to them.",high,,
